,artist,song
211, Drake ,Passionfruit
212, Rihanna ,Love On The Brain
213," Calvin Harris featuring Pharrell Williams, Katy Perry & Big Sean ",Feels
214, Calvin Harris featuring Frank Ocean & Migos ,Slide
215, Khalid ,Young Dumb & Broke
216, Cardi B ,Bodak Yellow
217, Future ,Mask Off
218, SZA featuring Travis Scott ,Love Galore
219, Logic ,1-800-273-8255
220, Blackbear ,Do Re Mi
221, Lil Uzi Vert ,XO Tour Llif3
222, Bruno Mars ,Versace on the Floor
223, SZA ,The Weekend
224, Migos featuring Lil Uzi Vert ,Bad And Boujee
225, Chris Brown featuring Usher & Gucci Mane ,Party
226, DJ Khaled featuring Beyonce & JAY Z ,Shining
227, Kyle ,iSpy
228, Chris Brown ,Privacy
229, The Weeknd ,Party Monster
230, Russ ,Losin Control
231, The Weeknd ,Reminder
232, Future featuring Rihanna ,Selfish
233," Chris Brown featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black ",Pills And Automobiles
234, John Legend ,Love Me Now
235, Chris Brown ,Questions
236, Post Malone featuring Quavo  ,Congratulations
237, Eminem ,River
238, Jacquees ,B.E.D.
239, XXXTENTACION featuring Trippie Redd ,F**k Love
240, Drake ,Signs
241, Drake ,Blem
242, Miguel featuring Travis Scott ,Sky Walker
243, Drake ,Teenage Fever
244, G-Eazy ,No Limit
245, Lil Pump ,Gucci Gang
246, Kendrick Lamar ,DNA.
247, Kodak Black ,Tunnel Vision
248," DJ Khaled featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross ",Do You Mind
249, 21 Savage ,Bank Account
250, Trey Songz ,Nobody Else But You
251, Drake featuring Jorja Smith & Black Coffee ,Get It Together
252, Yo Gotti ,Rake It Up
253, Calvin Harris featuring Future & Khalid ,Rollin
254, blackbear ,idfc
255, PARTYNEXTDOOR ,Not Nice
256, NF ,Let You Down
257, Post Malone ,I Fall Apart
258, The Weeknd ,Die For You
259, Migos ,T-Shirt
260, Kendrick Lamar ,Love.
261," Migos, Nicki Minaj & Cardi B ",MotorSport
262, Khalid ,Saved
263, Kendrick Lamar ,Loyalty.
264, Ayo & Teo ,Rolex
265, Gucci Mane ,I Get the Bag
266, Kehlani ,Distraction
267, The Weeknd ,Six Feet Under
268, Rae Sremmurd featuring Gucci Mane ,Black Beatles
269, DeJ Loaf ,No Fear
270, Drake ,Portland
271, The Weeknd featuring Kendrick Lamar ,Sidewalks
272, Bryson Tiller ,Run Me Dry
273, Tank ,When We
274, Bryson Tiller ,Somethin Tells Me
275, SZA ,Broken Clocks
276, G-Eazy & Kehlani ,Good Life
277, Kehlani ,Gangsta
278, Playboi Carti ,Magnolia
279, Migos ,Slippery
280, Kendrick Lamar ,Element.
281, Lil Uzi Vert ,The Way Life Goes
282, A Boogie wit da Hoodie ,Drowning
283, YFN Lucci ,Everyday We Lit
284," Nicki Minaj, Drake & Lil Wayne ",No Frauds
285, G-Eazy & Halsey ,Him & I
286, Gucci Mane ,Both
287, XXXTentacion ,Fuck Love
288, XXXTentacion ,Look at Me!
289, Eminem ,Walk on Water
290, XXXTentacion ,Jocelyn Flores
291, Travis Scott ,Butterfly Effect
292, Goldlink ,Crew
293, Kodak Black ,Roll in Peace
294, Drake ,Gyalchester
295, Drake ,Fake Love
296, 6ix9ine ,Gummo
297, Big Sean ,Moves
298, 2 Chainz ,It's a Vibe
299, Offset & Metro Boomin ,Ric Flair Drip
